,TargetAz=,MeasuredDepression=
HB04978.004,169.006775,15.140625
HB04980.004,179.006775,14.882813
HB04982.004,189.006775,14.914063
HB04984.004,199.006775,15.054688
HB04985.004,204.006775,15.070313
HB04986.004,209.006775,14.890625
HB04987.004,214.006775,14.953125
HB04988.004,219.006775,15.113281
HB04989.004,224.006775,15
HB04992.004,239.006775,15.019531
HB04993.004,249.006775,15.109375
HB04997.004,274.006775,14.9375
HB04998.004,279.006775,14.992188
HB04999.004,284.006775,14.824219
HB05000.004,289.006775,14.90625
HB05001.004,294.006775,15.050781
HB05002.004,299.006775,14.976563
HB05003.004,304.006775,14.898438
HB05004.004,309.006775,15.121094
HB05006.004,319.006775,14.96875
HB05008.004,329.006775,15.179688
HB05009.004,334.006775,14.824219
HB05011.004,344.006775,14.953125
HB05012.004,349.006775,14.921875
HB05014.004,359.006775,14.847656
HB05015.004,4.006783,14.808594
HB05016.004,9.006783,14.90625
HB05017.004,14.006783,14.773438
HB05019.004,24.006783,14.824219
HB05022.004,39.006783,15.246094
HB05024.004,49.006783,15.382813
HB05025.004,54.006783,15.320313
HB05026.004,59.006783,15.308594
HB05027.004,64.006783,15.332031
HB05028.004,69.006783,15.21875
HB05029.004,74.006783,15.128906
HB05030.004,79.006783,15.171875
HB05032.004,89.006783,15.230469
HB05033.004,94.006783,15.238281
HB05034.004,99.006783,15.175781
HB05035.004,104.006783,15.265625
HB05036.004,109.006783,15.300781
HB05038.004,129.006775,15.398438
HB05040.004,139.006775,15.324219
HB05041.004,144.006775,15.242188
HB05043.004,154.006775,14.945313
HB05609.004,167.006775,15.085938
HB05610.004,172.006775,15.082031
HB05611.004,177.006775,15.070313
HB05612.004,187.006775,14.921875
HB05614.004,197.006775,15.152344
HB05616.004,207.006775,15.136719
HB05618.004,217.006775,15.074219
HB05619.004,222.006775,15.179688
HB05620.004,227.006775,15.101563
HB05629.004,277.006775,15.027344
HB05630.004,282.006775,15.070313
HB05631.004,287.006775,14.992188
HB05632.004,292.006775,14.9375
HB05634.004,302.006775,15.171875
HB05635.004,307.006775,15.105469
HB05637.004,317.006775,15.132813
HB05642.004,352.006775,15.078125
HB05643.004,357.006775,15.007813
HB05647.004,27.006783,14.972656
HB05648.004,32.006783,15.144531
HB05649.004,37.006783,15.117188
HB05650.004,42.006783,15.117188
HB05651.004,47.006783,15.179688
HB05652.004,52.006783,15.242188
HB05653.004,57.006783,15.144531
HB05654.004,67.006783,15.171875
HB05657.004,82.006783,15.078125
HB05658.004,92.006783,15.011719
HB05659.004,97.006783,15.039063
HB05660.004,102.006783,15.054688
HB05661.004,107.006783,15.015625
HB05662.004,112.006783,14.898438
HB05664.004,122.006783,14.949219
HB05665.004,127.006783,14.964844
HB05667.004,137.006775,14.828125
HB05669.004,147.006775,14.878906
HB05670.004,157.006775,14.957031
HB05671.004,173.006775,14.949219
HB05672.004,178.006775,14.859375
HB05674.004,188.006775,14.984375
HB05675.004,198.006775,15.121094
HB05676.004,203.006775,15.1875
HB05677.004,208.006775,15.160156
HB05679.004,218.006775,15.074219
HB05680.004,223.006775,15.152344
HB05681.004,228.006775,15.238281
HB05683.004,238.006775,15.1875
HB05684.004,243.006775,15.230469
HB03787.004,302.006775,17.09375
HB03788.004,307.006775,17.09375
HB03790.004,342.006775,17.363281
HB03792.004,352.006775,17.089844
HB03793.004,2.006783,16.972656
HB03794.004,7.006783,17.035156
HB03796.004,32.006783,16.949219
HB03797.004,37.006783,16.859375
HB03798.004,47.006783,16.742188
HB03799.004,52.006783,16.78125
HB03800.004,57.006783,16.757813
HB03801.004,62.006783,16.757813
HB03802.004,67.006783,16.894531
HB03803.004,72.006783,16.945313
HB03804.004,82.006783,16.824219
HB03805.004,87.006783,16.78125
HB03806.004,92.006783,16.820313
HB03807.004,102.006783,16.890625
HB03808.004,107.006783,16.816406
HB03809.004,112.006783,16.800781
HB03810.004,117.006783,16.847656
HB03811.004,122.006783,16.941406
HB03812.004,127.006783,16.902344
HB03813.004,132.006775,16.75
HB03814.004,137.006775,16.773438
HB03815.004,152.006775,17.132813
HB03817.004,168.006775,16.804688
HB03818.004,173.006775,16.871094
HB03819.004,178.006775,17.132813
HB03820.004,183.006775,17.414063
HB03821.004,188.006775,17.417969
HB03822.004,193.006775,17.210938
HB03823.004,198.006775,16.941406
HB03824.004,203.006775,16.859375
HB03825.004,208.006775,16.96875
HB03826.004,213.006775,17.050781
HB03827.004,218.006775,17.214844
HB03828.004,223.006775,17.382813
HB03829.004,228.006775,17.371094
HB03830.004,233.006775,17.367188
HB03831.004,238.006775,17.367188
HB03832.004,248.006775,17.304688
HB03833.004,268.006775,17.324219
HB03834.004,273.006775,17.253906
HB03836.004,288.006775,17.320313
HB03837.004,293.006775,17.335938
HB03838.004,298.006775,17.164063
HB03839.004,308.006775,17.152344
HB03840.004,313.006775,17.289063
HB03841.004,318.006775,17.425781
HB03842.004,323.006775,17.382813
HB03843.004,328.006775,17.285156
HB03844.004,333.006775,17.238281
HB03846.004,343.006775,17.363281
HB03847.004,348.006775,17.089844
HB03848.004,353.006775,17.089844
HB03849.004,358.006775,17.253906
HB03850.004,3.006783,17.40625
HB03851.004,18.006783,17.035156
HB03852.004,23.006783,17.0625
HB03854.004,38.006783,16.933594
HB03855.004,43.006783,17
HB03856.004,48.006783,17.078125
HB03857.004,53.006783,17.070313
HB03858.004,58.006783,17.046875
HB03859.004,63.006783,17.050781
HB03860.004,68.006783,17.046875
HB03862.004,83.006783,17.191406
HB03863.004,88.006783,17.179688
HB03864.004,93.006783,17.082031
HB03865.004,98.006783,17.007813
HB03866.004,103.006783,17.042969
HB03867.004,108.006783,17.097656
HB03868.004,113.006783,17.136719
HB03869.004,118.006783,17.132813
HB03870.004,123.006783,17.101563
HB03871.004,128.006775,17.105469
HB03872.004,133.006775,17.128906
HB03873.004,138.006775,17.066406
HB03874.004,148.006775,17.039063
HB03875.004,153.006775,17.105469
HB03876.004,199.006775,17.3125
HB03877.004,204.006775,17.230469
HB03878.004,209.006775,17.265625
HB03879.004,214.006775,17.375
HB03880.004,219.006775,17.328125
HB03881.004,224.006775,17.316406
HB03882.004,229.006775,17.265625
HB03883.004,239.006775,17.199219
HB03884.004,244.006775,17.183594
HB03885.004,249.006775,17.167969
HB03886.004,254.006775,17.1875
HB03887.004,259.006775,17.164063
HB03889.004,269.006775,17.113281
HB03890.004,274.006775,17.296875
HB03891.004,279.006775,17.300781
HB03892.004,284.006775,17.152344
HB03893.004,289.006775,17.140625
HB03894.004,294.006775,17.207031
HB03895.004,304.006775,16.992188
HB03896.004,309.006775,17.195313
HB03897.004,314.006775,17.359375
HB03898.004,319.006775,17.1875
HB03900.004,329.006775,17.128906
HB03901.004,334.006775,17.203125
HB03902.004,339.006775,17.09375
HB03903.004,344.006775,16.933594
HB03904.004,349.006775,16.933594
HB03905.004,354.006775,17.046875
HB03906.004,359.006775,17.039063
HB03907.004,4.006783,16.917969
HB03908.004,14.006783,16.960938
HB03909.004,19.006783,16.964844
HB03910.004,24.006783,16.855469
HB03911.004,29.006783,16.761719
HB03912.004,34.006783,16.867188
HB03913.004,39.006783,16.917969
HB03914.004,44.006783,16.957031
HB03915.004,49.006783,16.992188
HB03916.004,54.006783,16.902344
HB03917.004,64.006783,16.964844
HB03918.004,69.006783,17.046875
HB03919.004,74.006783,17.019531
HB03920.004,79.006783,16.972656
HB03922.004,89.006783,16.957031
HB03923.004,94.006783,16.996094
HB03924.004,99.006783,17.097656
HB03925.004,104.006783,17.214844
HB03926.004,109.006783,17.203125
HB03927.004,114.006783,17.066406
HB03928.004,119.006783,16.945313
HB03929.004,124.006783,16.949219
HB03930.004,129.006775,17.054688
HB03931.004,134.006775,17.074219
HB03932.004,139.006775,16.980469
HB03933.004,144.006775,16.980469
HB03934.004,149.006775,17.117188
HB03935.004,159.006775,17.011719
HB03936.004,165.006775,17.003906
HB03938.004,180.006775,16.835938
HB03939.004,185.006775,16.863281
HB03940.004,190.006775,17.101563
HB03941.004,195.006775,17.148438
HB03942.004,200.006775,17.128906
HB03943.004,205.006775,17.082031
HB03944.004,210.006775,16.941406
HB03945.004,215.006775,17.039063
HB03946.004,220.006775,17.167969
HB03947.004,225.006775,17.273438
HB03948.004,230.006775,17.1875
HB03949.004,235.006775,17.066406
HB03950.004,240.006775,17.019531
HB03951.004,245.006775,17.148438
HB03952.004,250.006775,17.195313
HB03953.004,255.006775,17.136719
HB03954.004,260.006775,17.167969
HB03955.004,265.006775,17.179688
HB03956.004,270.006775,17
HB03957.004,275.006775,16.90625
HB03958.004,280.006775,17.082031
HB03959.004,285.006775,17.085938
HB03960.004,290.006775,17.027344
HB03962.004,305.006775,17.152344
HB03963.004,310.006775,17.140625
HB03964.004,315.006775,17.035156
HB03965.004,320.006775,16.953125
HB03967.004,330.006775,17.183594
HB03968.004,335.006775,17.222656
HB03969.004,340.006775,17.199219
HB03970.004,345.006775,17.027344
HB03971.004,350.006775,16.808594
HB03972.004,355.006775,16.769531
HB03973.004,0.006783,16.949219
HB03974.004,5.006783,17.089844
HB03975.004,10.006783,17.054688
HB03976.004,15.006783,16.929688
HB03977.004,20.006783,16.988281
HB03978.004,25.006783,17.148438
HB03979.004,30.006783,17.15625
HB03980.004,35.006783,17
HB03981.004,40.006783,16.941406
HB03982.004,45.006783,16.980469
HB03983.004,50.006783,16.957031
HB03985.004,75.006783,16.945313
HB03986.004,80.006783,17.058594
HB03987.004,85.006783,17.222656
HB03988.004,90.006783,17.25
HB03989.004,100.006783,17.113281
HB03990.004,105.006783,17.15625
HB03991.004,110.006783,17.25
HB03992.004,115.006783,17.15625
HB03993.004,125.006783,17.058594
HB03994.004,130.006775,17.253906
HB03995.004,135.006775,17.355469
HB03998.004,150.006775,16.941406
HB04000.004,160.006775,17.007813
HB04001.004,166.006775,16.96875
HB04002.004,171.006775,17
HB04003.004,176.006775,17.136719
HB04004.004,181.006775,17.179688
HB04005.004,186.006775,17.113281
HB04006.004,191.006775,17.085938
HB04007.004,196.006775,17.144531
HB04008.004,206.006775,17.195313
HB04009.004,211.006775,17.261719
HB04010.004,216.006775,17.339844
HB04011.004,221.006775,17.316406
HB04012.004,226.006775,17.214844
HB04013.004,231.006775,17.164063
HB04014.004,236.006775,17.253906
HB04015.004,241.006775,17.265625
HB04016.004,246.006775,17.195313
HB04017.004,251.006775,17.269531
HB04018.004,256.006775,17.265625
HB04020.004,266.006775,17.285156
HB04021.004,271.006775,17.433594
HB04022.004,276.006775,17.453125
HB04023.004,281.006775,17.351563
HB04024.004,286.006775,17.203125
HB04025.004,291.006775,17.25
HB04026.004,296.006775,17.378906
HB04027.004,301.006775,17.378906
HB04028.004,306.006775,17.28125
HB04029.004,311.006775,17.371094
HB04030.004,316.006775,17.398438
HB04033.004,331.006775,17.296875
HB04034.004,336.006775,17.488281
HB04035.004,341.006775,17.335938
HB04036.004,346.006775,17.089844
HB04037.004,351.006775,17.007813
HB04038.004,1.006783,17.199219
HB04039.004,6.006783,17.339844
HB04040.004,11.006783,17.347656
